sgRNA,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation
sgRNA_1,16.09992523091952,22.52175776862926,8.271345521634561
sgRNA_2,28.071577648172898,37.74772283433361,6.336857719020389
sgRNA_3,20.516543514347404,35.72106042168572,9.930508599493852
sgRNA_4,25.534150386178858,33.90541077990721,6.1665346535150825
sgRNA_5,25.011361263522815,34.45867792307168,7.2370884802594375
sgRNA_6,23.56156969901436,25.229255654203868,1.175689850672072
sgRNA_7,34.31457412441089,35.51272043404998,1.260041604837949
sgRNA_8,31.44258601359157,39.649614410681906,6.291722543288281
sgRNA_9,29.271426095765243,37.404326614630925,5.143795422046512
sgRNA_10,35.8128802457711,40.287773686593134,3.502561378908408
sgRNA_11,24.568060707227815,34.442813931313,7.858014727258795
sgRNA_12,34.42122860142577,36.82862616688159,2.3505093169673974
sgRNA_13,14.083480090600087,21.43893175234448,3.875186912616679
sgRNA_14,36.21856763598454,38.66277927767062,2.4705921459159312
sgRNA_15,33.05421741390455,36.04749982787247,1.9201346226017395
sgRNA_16,19.118170342997157,37.03319851601542,9.658867363960114
sgRNA_17,16.82502517782955,26.271368658275886,5.609143731982541
sgRNA_18,32.775517038857295,42.663222665474485,6.357486026947758
sgRNA_19,27.135361710526006,37.68665970434661,8.090563381663632
sgRNA_20,19.755783098757053,24.37838792544673,3.5072082264902873
sgRNA_21,28.61283629405765,32.31943677187793,3.7306624567005735
sgRNA_22,15.58755662074642,24.33093765028763,4.528414346469356
sgRNA_23,20.196557272965734,28.90933361500517,4.938791933348992
sgRNA_24,35.14730214877022,38.81498056096165,4.221247967594203
sgRNA_25,37.97097097084456,40.55618872155173,1.4746774755470535
sgRNA_26,20.534716493354768,36.35117374495015,8.324221316701722
sgRNA_27,17.137326888204612,17.783688096424065,0.9200528710566601
sgRNA_28,35.794767885922866,37.246770934817995,1.9357648481083174
sgRNA_29,34.54107926859941,35.81200309198673,0.8340924420090655
sgRNA_30,23.00015276661433,32.78893163017874,9.976999734252702
sgRNA_31,18.751061871374027,25.482382367473825,4.888949976521206
sgRNA_32,23.76657550228153,33.55236897902159,6.3208304707280405
sgRNA_33,35.69586074192131,37.98954155256571,1.6177875566210789
sgRNA_34,26.490339067873286,34.622134482748194,8.460913562192184
sgRNA_35,29.806237290504505,36.89569896810533,5.374979675622787
sgRNA_36,17.889877411096116,20.861377444323693,2.9911166097382598
sgRNA_37,31.13489970527406,36.4386839522455,5.736506381609891
sgRNA_38,29.924642911789828,34.8377487645169,4.69075224140877
sgRNA_39,35.98408004917694,41.41680631785965,4.100802832210686
sgRNA_40,32.871548676592894,36.54868635757433,3.5484537949777555
sgRNA_41,14.818551774135411,24.381303944647247,5.461318357726775
sgRNA_42,23.839959470702286,38.208602063428216,11.93598866782373
sgRNA_43,41.68671558941549,44.050832421846046,2.5836107506645694
sgRNA_44,37.33827191015465,40.736379624860376,1.969718719627903
sgRNA_45,23.352398136825563,28.22220950698596,2.462011981120128
sgRNA_46,36.65339406439694,39.60354303215479,2.2335643944544454
sgRNA_47,22.711725953328074,34.31114517096004,6.548919387116129
sgRNA_48,37.23823799267355,41.16518480571504,2.670452973329441
sgRNA_49,25.218818274892854,39.55184573244266,9.919492714730014
sgRNA_50,35.60006485930494,38.748691687762026,2.0088282874764123
sgRNA_51,14.935870272819852,28.688701030575924,7.638602675022696
sgRNA_52,36.18517487044933,39.14610294857649,2.899273203971942
