Region,Shapiro_A_p,Shapiro_B_p,Test_Used,Final_P_Value,Significance
TL,1.1632254781204082e-08,6.61120019973447e-05,Mann-Whitney,1.0868454914091174e-05,***
SL1,0.003104368895474096,5.024661663334375e-10,Mann-Whitney,0.00015622752981918358,***
SL2,0.00018751846228660888,1.5772863089255136e-07,Mann-Whitney,0.0011848488033425048,**
SL3,0.14508612299747148,0.0013161110950809672,Mann-Whitney,0.006449236210493634,**
